price,quantity,seller_inflow,buyer_outflow
1.0,1.49,1.49,1.51
1.0,1.48,1.48,1.49
1.0,1.47,1.47,1.48
1.0,1.46,1.46,1.47
1.0,1.45,1.45,1.46
1.0,1.44,1.44,1.45
1.0,1.43,1.43,1.44
1.0,1.42,1.42,1.43
1.0,1.41,1.41,1.42
1.0,1.4,1.4,1.41
1.0,1.39,1.39,1.4
1.0,1.46,1.46,1.39
1.0,1.47,1.47,1.46
1.0,1.46,1.46,1.47
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.47,1.47,1.46
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.48,1.48,1.47
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.48,1.48,1.48
1.0,1.49,1.49,1.48
1.0,1.49,1.49,1.49
1.0,1.48,1.48,1.49
1.0,1.49,1.49,1.48
1.0,1.49,1.49,1.49
1.0,1.49,1.49,1.49
1.0,1.48,1.48,1.49
1.0,1.47,1.47,1.48
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.47,1.47,1.47
1.0,1.46,1.46,1.47
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.46,1.46,1.46
1.0,1.52,1.52,1.46
1.0,1.53,1.53,1.52
1.0,1.53,1.53,1.53
1.0,1.54,1.54,1.53
1.0,1.55,1.55,1.54
1.0,1.55,1.55,1.55
1.0,1.56,1.56,1.55
1.0,1.57,1.57,1.56
1.0,1.58,1.58,1.57
1.0,1.58,1.58,1.58
1.0,1.59,1.59,1.58
1.0,1.6,1.6,1.59
1.0,1.6,1.6,1.6
1.0,1.61,1.61,1.6
1.0,1.61,1.61,1.61
1.0,1.62,1.62,1.61
1.0,1.63,1.63,1.62
1.0,1.63,1.63,1.63
1.0,1.64,1.64,1.63
1.0,1.63,1.63,1.64
1.0,1.63,1.63,1.63
1.0,1.64,1.64,1.63
1.0,1.64,1.64,1.64
1.0,1.64,1.64,1.64
1.0,1.65,1.65,1.64
1.0,1.65,1.65,1.65
1.0,1.65,1.65,1.65
1.0,1.66,1.66,1.65
1.0,1.75,1.75,1.66
1.0,1.77,1.77,1.75
1.0,1.78,1.78,1.77
1.0,1.8,1.8,1.78
1.0,1.81,1.81,1.8
1.0,1.83,1.83,1.81
1.0,1.85,1.85,1.83
1.0,1.86,1.86,1.85
1.0,1.88,1.88,1.86
1.0,1.9,1.9,1.88
1.0,1.91,1.91,1.9
1.0,1.93,1.93,1.91
1.0,1.94,1.94,1.93
